Pos,Driver,SIL R1,SIL R2,SIL R3,HOC R1,HOC R2,HOC R3,PAU R1,PAU R2,PAU R3,MNZ R1,MNZ R2,MNZ R3,SPA R1,SPA R2,SPA R3,NOR R1,NOR R2,NOR R3,ZAN R1,ZAN R2,ZAN R3,RBR R1,RBR R2,RBR R3,ALG R1,ALG R2,ALG R3,NÜR R1,NÜR R2,NÜR R3,HOC R1,HOC R2,HOC R3,Points
28,Matt Solomon,25,26,24,21,26,23,25,Ret,13,Ret,19,19,Ret,19,25,Ret,25,Ret,21,17,Ret,Ret,20,26,21,25,22,28,Ret,18,26,26,14,0
29,Matthew Rao,Ret,22,Ret,14,16,31,19,24,19,16,15,EX,23,14,Ret,23,21,Ret,22,23,27,25,31,25,25,Ret,21,22,18,Ret,23,28,18,0
30,Hongwei Cao,23,17,23,18,18,21,21,16,24,14,17,15,20,20,17,,,,,,,,,,,,,,,,,,,0
31,Nicolas Beer,14,20,18,Ret,DNS,DNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Nicolas Pohler,27,24,26,Ret,23,32†,Ret,23,22,19,18,16,27,22,Ret,22,Ret,24,24,29,Ret,,,,,,,31,25,Ret,22,24,15,0
33,Félix Serrallés,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Ret,15,,,,0
34,Julio Moreno,28,23,30,Ret,27,26,22,Ret,DNS,Ret,23,23,28,26,19,18,19,23,31,27,24,28,22,31,31,19,17,29,20,Ret,24,19,16,0
35,Artur Janosz,,,,,,,,,,Ret,16,18,,,,,,,,,,,,,,,,,,,,,,0
36,Wing Chung Chang,,,,,,,,,,,,,,,,,,,20,26,21,24,18,23,24,18,Ret,26,Ret,Ret,Ret,18,20,0
37,Peter Li,Ret,28,27,25,29,29,,,,,,,,,,,,,26,31,26,32,23,30,26,22,19,27,23,20,Ret,27,19,0
38,Kang Ling,Ret,21,Ret,Ret,28,24,20,Ret,Ret,Ret,26,24,26,Ret,20,21,Ret,22,23,24,23,29,26,Ret,,,,,,,,,,0
39,Mahaveer Raghunathan,26,25,29,24,31,30,DNQ,DNQ,DNQ,Ret,24,25,29,27,24,25,20,25,27,30,28,31,25,29,30,23,DNS,30,26,22,,,,0
40,Tanart Sathienthirakul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,Ret,0
41,Matheus Leist,,,,,,,,,,,,,,,,,,,,,,27,24,27,,,,,,,,,,0
42,Gustav Malja,,,,,,,Ret,25,25,,,,,,,,,,,,,,,,,,,,,,,,,0
,Facu Regalia,,,,,,,,,,WD,WD,WD,,,,,,,,,,,,,,,,,,,,,,0
,Alexander Sims,,,,,,,,,,,,,,,,,,,,,,,,,20,15,13,,,,5,DSQ,4,0
,Harald Schlegelmilch,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,27,23,28,22,Ret,0
,Marvin Dienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25,Ret,0
